Country,Link for geotiff file
Afghanistan,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/AFG/afg_ppp_2020.tif
Albania,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/ALB/alb_ppp_2020.tif
Algeria,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/DZA/dza_ppp_2020.tif
American Samoa,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/ASM/asm_ppp_2020.tif
Andorra,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/AND/and_ppp_2020.tif
Angola,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/AGO/ago_ppp_2020.tif
Anguilla,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/AIA/aia_ppp_2020.tif
Antartica,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/ATA/ata_ppp_2020.tif
Antigua And Barbuda,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/ATG/atg_ppp_2020.tif
Argentina,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/ARG/arg_ppp_2020.tif
Armenia,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/ARM/arm_ppp_2020.tif
Aruba,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/ABW/abw_ppp_2020.tif
Australia,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/AUS/aus_ppp_2020.tif
Austria,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/AUT/aut_ppp_2020.tif
Azerbaijan,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/AZE/aze_ppp_2020.tif
Bahamas,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/BHS/bhs_ppp_2020.tif
Bahrain,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/BHR/bhr_ppp_2020.tif
Bangladesh,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/BGD/bgd_ppp_2020.tif
Barbados,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/BRB/brb_ppp_2020.tif
Belarus,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/BLR/blr_ppp_2020.tif
Belgium,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/BEL/bel_ppp_2020.tif
Belize,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/BLZ/blz_ppp_2020.tif
Benin,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/BEN/ben_ppp_2020.tif
Bermuda,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/BMU/bmu_ppp_2020.tif
Bhutan,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/BTN/btn_ppp_2020.tif
Bolivia (Plurinational State of),https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/BOL/bol_ppp_2020.tif
"Bonaire, Saint Eustatius and Saba",https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/BES/bes_ppp_2020.tif
Bosnia And Herzegowina,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/BIH/bih_ppp_2020.tif
Botswana,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/BWA/bwa_ppp_2020.tif
Bouvet Island,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/BVT/bvt_ppp_2020.tif
Brazil,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/BRA/bra_ppp_2020.tif
British Indian Ocean Territory,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/IOT/iot_ppp_2020.tif
Brunei Darussalam,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/BRN/brn_ppp_2020.tif
Bulgaria,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/BGR/bgr_ppp_2020.tif
Burkina Faso,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/BFA/bfa_ppp_2020.tif
Burundi,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/BDI/bdi_ppp_2020.tif
Cabo Verde,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/CPV/cpv_ppp_2020.tif
Cambodia,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/KHM/khm_ppp_2020.tif
Cameroon,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/CMR/cmr_ppp_2020.tif
Canada,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/CAN/can_ppp_2020.tif
Cayman Islands,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/CYM/cym_ppp_2020.tif
Central African Republic,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/CAF/caf_ppp_2020.tif
Chad,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/TCD/tcd_ppp_2020.tif
Chile,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/CHL/chl_ppp_2020.tif
China,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/CHN/chn_ppp_2020.tif
Colombia,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/COL/col_ppp_2020.tif
Comoros,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/COM/com_ppp_2020.tif
Congo,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/COG/cog_ppp_2020.tif
Cook Islands,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/COK/cok_ppp_2020.tif
Costa Rica,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/CRI/cri_ppp_2020.tif
Croatia,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/HRV/hrv_ppp_2020.tif
Cuba,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/CUB/cub_ppp_2020.tif
Curaçao,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/CUW/cuw_ppp_2020.tif
Cyprus,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/CYP/cyp_ppp_2020.tif
Czechia,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/CZE/cze_ppp_2020.tif
Côte d'Ivoire,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/CIV/civ_ppp_2020.tif
Democratic People's Republic of Korea,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/PRK/prk_ppp_2020.tif
Democratic Republic of the Congo,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/COD/cod_ppp_2020.tif
Denmark,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/DNK/dnk_ppp_2020.tif
Djibouti,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/DJI/dji_ppp_2020.tif
Dominica,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/DMA/dma_ppp_2020.tif
Dominican Republic,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/DOM/dom_ppp_2020.tif
Ecuador,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/ECU/ecu_ppp_2020.tif
Egypt,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/EGY/egy_ppp_2020.tif
El Salvador,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/SLV/slv_ppp_2020.tif
Equatorial Guinea,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/GNQ/gnq_ppp_2020.tif
Eritrea,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/ERI/eri_ppp_2020.tif
Estonia,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/EST/est_ppp_2020.tif
Eswatini,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/SWZ/swz_ppp_2020.tif
Ethiopia,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/ETH/eth_ppp_2020.tif
Falkland Islands (Malvinas),https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/FLK/flk_ppp_2020.tif
Faroe Islands,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/FRO/fro_ppp_2020.tif
Fiji,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/FJI/fji_ppp_2020.tif
Finland,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/FIN/fin_ppp_2020.tif
France,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/FRA/fra_ppp_2020.tif
French Guiana,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/GUF/guf_ppp_2020.tif
French Polynesia,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/PYF/pyf_ppp_2020.tif
French Southern Territories,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/ATF/atf_ppp_2020.tif
Gabon,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/GAB/gab_ppp_2020.tif
Gambia,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/GMB/gmb_ppp_2020.tif
Georgia,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/GEO/geo_ppp_2020.tif
Germany,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/DEU/deu_ppp_2020.tif
Ghana,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/GHA/gha_ppp_2020.tif
Gibraltar,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/GIB/gib_ppp_2020.tif
Greece,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/GRC/grc_ppp_2020.tif
Greenland,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/GRL/grl_ppp_2020.tif
Grenada,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/GRD/grd_ppp_2020.tif
Guadeloupe,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/GLP/glp_ppp_2020.tif
Guam,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/GUM/gum_ppp_2020.tif
Guatemala,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/GTM/gtm_ppp_2020.tif
Guernsey,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/GGY/ggy_ppp_2020.tif
Guinea,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/GIN/gin_ppp_2020.tif
Guinea-Bissau,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/GNB/gnb_ppp_2020.tif
Guyana,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/GUY/guy_ppp_2020.tif
Haiti,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/HTI/hti_ppp_2020.tif
Heard And McDonald Islands,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/HMD/hmd_ppp_2020.tif
Holy See (Vatican City State),https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/VAT/vat_ppp_2020.tif
Honduras,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/HND/hnd_ppp_2020.tif
Hong Kong,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/HKG/hkg_ppp_2020.tif
Hungary,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/HUN/hun_ppp_2020.tif
Iceland,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/ISL/isl_ppp_2020.tif
India,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/IND/ind_ppp_2020.tif
Indonesia,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/IDN/idn_ppp_2020.tif
Iran (Islamic Republic Of),https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/IRN/irn_ppp_2020.tif
Iraq,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/IRQ/irq_ppp_2020.tif
Ireland,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/IRL/irl_ppp_2020.tif
Isle of Man,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/IMN/imn_ppp_2020.tif
Israel,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/ISR/isr_ppp_2020.tif
Italy,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/ITA/ita_ppp_2020.tif
Jamaica,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/JAM/jam_ppp_2020.tif
Japan,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/JPN/jpn_ppp_2020.tif
Jersey,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/JEY/jey_ppp_2020.tif
Jordan,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/JOR/jor_ppp_2020.tif
Kazakhstan,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/KAZ/kaz_ppp_2020.tif
Kenya,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/KEN/ken_ppp_2020.tif
Kiribati,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/KIR/kir_ppp_2020.tif
"Korea, Republic Of",https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/KOR/kor_ppp_2020.tif
Kuwait,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/KWT/kwt_ppp_2020.tif
Kyrgyzstan,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/KGZ/kgz_ppp_2020.tif
Lao People's Democratic Republic,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/LAO/lao_ppp_2020.tif
Latvia,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/LVA/lva_ppp_2020.tif
Lebanon,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/LBN/lbn_ppp_2020.tif
Lesotho,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/LSO/lso_ppp_2020.tif
Liberia,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/LBR/lbr_ppp_2020.tif
Libya,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/LBY/lby_ppp_2020.tif
Liechtenstein,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/LIE/lie_ppp_2020.tif
Lithuania,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/LTU/ltu_ppp_2020.tif
Luxemburg,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/LUX/lux_ppp_2020.tif
Macau,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/MAC/mac_ppp_2020.tif
Madagascar,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/MDG/mdg_ppp_2020.tif
Malawi,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/MWI/mwi_ppp_2020.tif
Malaysia,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/MYS/mys_ppp_2020.tif
Maldives,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/MDV/mdv_ppp_2020.tif
Mali,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/MLI/mli_ppp_2020.tif
Malta,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/MLT/mlt_ppp_2020.tif
Marshall Islands,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/MHL/mhl_ppp_2020.tif
Martinique,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/MTQ/mtq_ppp_2020.tif
Mauritania,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/MRT/mrt_ppp_2020.tif
Mauritius,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/MUS/mus_ppp_2020.tif
Mayotte,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/MYT/myt_ppp_2020.tif
Mexico,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/MEX/mex_ppp_2020.tif
"Micronesia, Federated States Of",https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/FSM/fsm_ppp_2020.tif
"Moldova, Republic Of",https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/MDA/mda_ppp_2020.tif
Monaco,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/MCO/mco_ppp_2020.tif
Mongolia,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/MNG/mng_ppp_2020.tif
Montenegro,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/MNE/mne_ppp_2020.tif
Montserrat,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/MSR/msr_ppp_2020.tif
Morocco,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/MAR/mar_ppp_2020.tif
Mozambique,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/MOZ/moz_ppp_2020.tif
Myanmar,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/MMR/mmr_ppp_2020.tif
Namibia,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/NAM/nam_ppp_2020.tif
Nauru,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/NRU/nru_ppp_2020.tif
Nepal,https://data.worldpop.org/GIS/Population/Global_2000_2020/2020/NPL/npl_ppp_2020.tif
